,network_region,code,fueltech,capacity_registered,status,data_first_seen,lat,lon,station_name,station_code
172,NSW1,WYASF1,solar_utility,62.32,operating,,-33.80493895585568,147.29515548006776,Wyalong Solar Farm,WYASF
173,NSW1,WYANGALA,hydro,20.0,operating,,-33.980371000000005,148.947377,Wyangala A,WYANGALA
174,NSW1,WYANGALB,hydro,4.0,operating,,-33.980371000000005,148.947377,Wyangala B,WYANGALB
175,QLD1,BAKING1,solar_utility,17.0,operating,,-26.721165999999997,150.55417,Baking Board,BAKING
176,QLD1,BARCALDN,gas_ccgt,37.0,operating,1998-12-07T06:40:00+10:00,-23.5521705751292,145.31485121010098,Barcaldine,BARCALDN
177,QLD1,BARCSF1,solar_utility,10.0,operating,2016-12-21T14:25:00+10:00,-23.547333,145.318972,Barcaldine,BARCSF
178,QLD1,BARRON-2,hydro,30.0,operating,1998-12-07T17:55:00+10:00,-16.8507701285363,145.64704928388701,Barron Gorge,BARRON
179,QLD1,BARRON-1,hydro,30.0,operating,1998-12-07T23:55:00+10:00,-16.8507701285363,145.64704928388701,Barron Gorge,BARRON
180,QLD1,BLUEGSF1,solar_utility,183.0,committed,,-26.691708197534332,150.50003719153324,Blue Grass,BLUEGSF
181,QLD1,BBATTERY,battery_discharging,50.0,operating,,-23.563443095530477,150.45965800764628,Bouldercombe Battery,BBATTERY
182,QLD1,BBATRYL1,battery_charging,50.0,operating,,-23.563443095530477,150.45965800764628,Bouldercombe Battery,BBATTERY
183,QLD1,BRAEMAR2,gas_ocgt,168.0,operating,2006-04-26T19:55:00+10:00,-27.111668775911003,150.907647496929,Braemar,BRAEMARA
184,QLD1,BRAEMAR1,gas_ocgt,168.0,operating,2006-04-26T19:55:00+10:00,-27.111668775911003,150.907647496929,Braemar,BRAEMARA
185,QLD1,BRAEMAR3,gas_ocgt,168.0,operating,2006-04-26T19:55:00+10:00,-27.111668775911003,150.907647496929,Braemar,BRAEMARA
186,QLD1,BRAEMAR7,gas_ocgt,173.0,operating,2009-03-27T09:55:00+10:00,-27.1098726737727,150.90765329885,Braemar 2,B2PS
187,QLD1,BRAEMAR6,gas_ocgt,173.0,operating,2009-03-27T09:55:00+10:00,-27.1098726737727,150.90765329885,Braemar 2,B2PS
188,QLD1,BRAEMAR5,gas_ocgt,173.0,operating,2009-03-27T09:55:00+10:00,-27.1098726737727,150.90765329885,Braemar 2,B2PS
189,QLD1,BPLANDF1,bioenergy_biogas,2.0,operating,,-27.674584000000003,153.068499,Browns Plains,BPLANDF
190,QLD1,CALL_A_2,coal_black,30.0,retired,1998-12-21T06:05:00+10:00,-24.3331687723181,150.626321580678,Callide A,CALL_A
191,QLD1,CALL_A_4,coal_black,30.0,retired,1999-01-14T05:50:00+10:00,-24.3331687723181,150.626321580678,Callide A,CALL_A
192,QLD1,CALL_A_1,coal_black,,retired,1999-01-14T13:10:00+10:00,-24.3331687723181,150.626321580678,Callide A,CALL_A
193,QLD1,CALL_A_3,coal_black,,retired,1999-01-14T04:15:00+10:00,-24.3331687723181,150.626321580678,Callide A,CALL_A
194,QLD1,CALL_B_2,coal_black,350.0,operating,1998-12-07T01:50:00+10:00,-24.3331687723181,150.626321580678,Callide B,CALL_B
195,QLD1,CALL_B_1,coal_black,350.0,operating,1998-12-07T01:50:00+10:00,-24.3331687723181,150.626321580678,Callide B,CALL_B
196,QLD1,CPP_3,coal_black,420.0,operating,2001-01-18T20:55:00+10:00,-24.347222,150.608611,Callide C,CALLIDEC1
197,QLD1,CPP_4,coal_black,420.0,operating,2001-07-24T19:55:00+10:00,-24.347222,150.608611,Callide C,CALLIDEC1
198,QLD1,CHILDSF1,solar_utility,64.0,operating,2019-01-01T00:25:00+10:00,-25.295026999999997,152.403674,Childers,CHILDSF
199,QLD1,CHBESSL1,battery_charging,134.0,operating,,-26.914805034056283,150.74729440740998,Chinchilla,CHBESS
200,QLD1,CHBESSG1,battery_discharging,134.0,operating,,-26.914805034056283,150.74729440740998,Chinchilla,CHBESS
201,QLD1,CLARESF1,solar_utility,110.0,operating,2018-02-01T00:25:00+10:00,-19.83977,147.21055,Clare,CLARESF
202,QLD1,CLERMSF1,solar_utility,92.0,operating,2019-06-01T00:25:00+10:00,-22.8394058,147.5460307,Clermont,CLERMSF
203,QLD1,COLNSV_1,coal_black,30.0,retired,1998-12-07T01:50:00+10:00,-20.543332999999997,147.806944,Collinsville,COLNSV
204,QLD1,COLNSV_2,coal_black,30.0,retired,1998-12-07T13:55:00+10:00,-20.543332999999997,147.806944,Collinsville,COLNSV
205,QLD1,COLNSV_3,coal_black,30.0,retired,1998-12-07T02:00:00+10:00,-20.543332999999997,147.806944,Collinsville,COLNSV
206,QLD1,COLNSV_4,coal_black,30.0,retired,1998-12-07T01:50:00+10:00,-20.543332999999997,147.806944,Collinsville,COLNSV
207,QLD1,COLNSV_5,coal_black,66.0,retired,1998-12-07T01:50:00+10:00,-20.543332999999997,147.806944,Collinsville,COLNSV
208,QLD1,CSPVPS1,solar_utility,42.0,operating,2018-07-01T00:25:00+10:00,-20.55714,147.820552,Collinsville,CSPVPS
209,QLD1,COLUMSF1,solar_utility,50.0,operating,,-26.6360877,150.2822104,Columboola,COLUMSF
210,QLD1,CPSA,gas_ccgt,143.0,operating,2009-06-02T09:55:00+10:00,-26.6666729324806,150.268581153696,Condamine A,CPSA
211,QLD1,COOPGWF1,wind,452.0,operating,2019-06-01T00:25:00+10:00,-26.7170038,151.4491769,Coopers Gap,COOPGWF
212,QLD1,DAANDINE,gas_recip,33.0,operating,,-27.0862943709476,150.94252770215,Daandine,DAANDINE
213,QLD1,DDPS1,gas_ccgt,121.0,operating,2009-11-16T09:55:00+10:00,-27.1168512752019,150.89539128796198,Darling Downs,DDPS1
214,QLD1,DDSF1,solar_utility,121.0,operating,2018-06-01T00:25:00+10:00,-27.112,150.8819,Darling Downs,DDSF
